GeoAreaName,Region,ISOalpha3,Source,FootNote,Year_of_appointment,chief_justice_name,sex_chief_justice
Mauritania,Sub-Saharan Africa,MRT,"Mauritania's Information Office, CJCA",Supreme Court,2022,Cheikh Ahmed Ould Sid Ahmed,MALE
Mauritius,Sub-Saharan Africa,MUS,Annual Report 2024,Supreme Courrt,2021,Bibi Rehana Mungly-Gulbu,FEMALE
Mayotte,Sub-Saharan Africa,MYT,Network of Presidents of the Supreme Judicial Courts of the European Union Site,Court of Cassation of France,2022,Christophe Soulard,MALE
Mexico,Latin America and the Caribbean,MEX,Supreme Court Site,Suprema Corte de Justicia,2025,Hugo Aguilar Ortiz,MALE
Micronesia (Federated States of),Oceania excluding Australia and New Zealand,FSM,Pacific Judicial Council Site,Supreme Court,,Beauleen Carl-Worswick,FEMALE
Monaco,Europe and Northern America,MCO,Judiciary Website,Supreme Court,,Stéphane BRACONNIER,MALE
Mongolia,Central Asia and Southern Asia,MNG,Supreme Court Site,Supreme Court,2020,Damdin Ganzorig,MALE
Montenegro,Europe and Northern America,MNE,Supreme Court Website,Supreme Court,2025,Valentina Pavličić,FEMALE
Montserrat,Latin America and the Caribbean,MSR,ECSC Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Morocco,Western Asia and Northern Africa,MAR,Kingdom of Morocco,Court of Cassation,,Mohamed Abdennabaoui,MALE
Mozambique,Sub-Saharan Africa,MOZ,Judiciary Website,Supreme Court,2014,Adelino Manuel Muchanga,MALE
Myanmar,Eastern Asia and South-eastern Asia,MMR,Supreme Court Site,Supreme Court of the Union,2023,Thar Htay,MALE
Namibia,Sub-Saharan Africa,NAM,Judiciary Website,Supreme Court,2004,Justice Peter Shivute,MALE
Nauru,Oceania excluding Australia and New Zealand,NRU,Judiciary Website,Supreme Court,,Mohammed Shafiullah Khan,MALE
Nepal,Central Asia and Southern Asia,NPL,Supreme Court Site,Supreme Court,2023,KHIL RAJ REGMI,MALE
Netherlands (Kingdom of the),Europe and Northern America,NLD,Judiciary Website,Supreme Court,2020,Dineke de Groot,FEMALE
New Caledonia,Oceania excluding Australia and New Zealand,NCL,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
New Zealand,Oceania,NZL,Judiciary Website,Supreme Court,2019,Dame Helen Winkelmann,FEMALE
Nicaragua,Latin America and the Caribbean,NIC,Cumbre Judicial Iberoamericana,Corte Suprema de Justicia,,Alba Luz Ramos,FEMALE
Niger,Sub-Saharan Africa,NER,"AHJUCAF Website, Andalou Agency",Cour de Cassation,2022,Abdou Dan Galadima,MALE
Nigeria,Sub-Saharan Africa,NGA,Past Chiefs of Justice of Nigeria Site,Supreme Court,2025,Kudirat Motonmori Olatokunbo Kekere-Ekun,FEMALE
Niue,Oceania excluding Australia and New Zealand,NIU,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
Norfolk Island,Oceania,NFK,High Court of Australia,High Court,2023,Stephen Gageler AC,MALE
North Macedonia,Europe and Northern America,MKD,CEPEJ,,,,FEMALE
Northern Mariana Islands,Oceania excluding Australia and New Zealand,MNP,Judiciary Website,Supreme Court,2012,ALEXANDRO C. CASTRO,MALE
Norway,Europe and Northern America,NOR,Supreme Court Website,Supreme Court,2016,Toril Marie Øie,FEMALE
Pakistan,Central Asia and Southern Asia,PAK,Supreme Court Site,Supreme Court,2018,Yahya Afridi,MALE
Palau,Oceania excluding Australia and New Zealand,PLW,Pacific Judicial Council Site,Supreme Court,,Oldiais Ngiraikelau,MALE
Panama,Latin America and the Caribbean,PAN,Judiciary Website,Corte Suprema de Justicia,2025,María Eugenia López Arias,FEMALE
Papua New Guinea,Oceania excluding Australia and New Zealand,PNG,"Judiciary Website, CMS Site, LSJ site",Supreme Court,,Gibumba Gibbs Salika,MALE
Paraguay,Latin America and the Caribbean,PRY,Supreme Court Site,Corte Suprema de Justicia,,César Manuel Diesel Junghanns,MALE
Peru,Latin America and the Caribbean,PER,Supreme Court Site,Suprema Corte de Justicia,,Janet Ofelia Lourdes Tello Gilardi,FEMALE
Philippines,Eastern Asia and South-eastern Asia,PHL,Judiciary Website,Supreme Court,2021,Alexander G. Gesmundo,MALE
Pitcairn,Oceania excluding Australia and New Zealand,PCN,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Poland,Europe and Northern America,POL,Supreme Court Site,Supreme Court,2020,Małgorzata MANOWSKA,FEMALE
Portugal,Europe and Northern America,PRT,Supremo Tribunal de Justica Website,Supremo Tribunal de Justica,2024,João Cura Mariano,MALE
